COUNTRY_ID,COUNTRY_NAME,AVG,LOW,HIGH
1,Afghanistan,,,
2,Albania,,,
3,Algeria,,,
4,Andorra,,,
5,Angola,,,
6,Antigua and Barbuda,,,
7,Argentina,,,
8,Armenia,,,
9,Australia,,,
10,Austria,,,
11,Azerbaijan,,,
12,The Bahamas,,,
13,Bahrain,,,
14,Bangladesh,,,
15,Barbados,,,
16,Belarus,,,
17,Belgium,,,
18,Belize,,,
19,Benin,,,
20,Bhutan,,,
21,Bolivia,,,
22,Bosnia and Herzegovina,,,
23,Botswana,,,
24,Brazil,,,
25,Brunei,,,
26,Bulgaria,,,
27,Burkina Faso,,,
28,Burundi,,,
29,Cambodia,,,
30,Cameroon,,,
31,Canada,,,
32,Cape Verde,,,
33,Central African Republic,,,
34,Chad,,,
35,Chile,,,
36,China,,,
37,Colombia,,,
38,Comoros,,,
39,Congo,,,
40,Cook Islands,,,
41,Costa Rica,,,
42,Cote d'Ivoire,,,
43,Croatia,,,
44,Cuba,,,
45,Cyprus,,,
46,Czech Republic,,,
47,North Korea,,,
48,Democratic Republic of the Congo,,,
49,Denmark,,,
50,Djibouti,,,
51,Dominica,,,
52,Dominican Republic,,,
53,Ecuador,,,
54,Egypt,,,
55,El Salvador,,,
56,Equatorial Guinea,,,
57,Eritrea,,,
58,Estonia,,,
59,Ethiopia,,,
60,Fiji,,,
61,Finland,,,
62,France,,,
63,Gabon,,,
64,The Gambia,,,
65,Georgia,,,
66,Germany,,,
67,Ghana,,,
68,Greece,,,
69,Grenada,,,
70,Guatemala,,,
71,Guinea,,,
72,Guinea-Bissau,,,
73,Guyana,,,
74,Haiti,,,
75,Honduras,,,
76,Hungary,,,
77,Iceland,,,
78,India,,,
79,Indonesia,,,
80,Iran,,,
81,Iraq,,,
82,Ireland,,,
83,Israel,,,
84,Italy,,,
85,Jamaica,,,
86,Japan,,,
87,Jordan,,,
88,Kazakhstan,,,
89,Kenya,,,
90,Kiribati,,,
91,Kuwait,,,
92,Kyrgyzstan,,,
93,Laos,,,
94,Latvia,,,
95,Lebanon,,,
96,Lesotho,,,
97,Liberia,,,
98,Libya,,,
99,Lithuania,,,
100,Luxembourg,,,
101,Madagascar,,,
102,Malawi,,,
103,Malaysia,,,
104,Maldives,,,
105,Mali,,,
106,Malta,,,
107,Marshall Islands,,,
108,Mauritania,,,
109,Mauritius,,,
110,Mexico,,,
111,Federated States of Micronesia,,,
112,Monaco,,,
113,Mongolia,,,
114,Morocco,,,
115,Mozambique,,,
116,Myanmar,,,
117,Namibia,,,
118,Nauru,,,
119,Nepal,,,
120,Netherlands,,,
121,New Zealand,,,
122,Nicaragua,,,
123,Niger,,,
124,Nigeria,,,
125,Niue,,,
126,Norway,,,
127,Oman,,,
128,Pakistan,,,
129,Palau,,,
130,Panama,,,
131,Papua New Guinea,,,
132,Paraguay,,,
133,Peru,,,
134,Philippines,,,
135,Poland,,,
136,Portugal,,,
137,Qatar,,,
138,South Korea,,,
139,Moldova,,,
140,Romania,,,
141,Russia,,,
142,Rwanda,,,
143,St.Kitts+Nevis,,,
144,Saint Lucia,,,
145,Saint Vincent and the Grenadines,,,
146,Samoa,,,
147,San Marino,,,
148,Sao Tome and Principe,,,
149,Saudi Arabia,,,
150,Senegal,,,
151,Serbia+Montenegro,,,
152,Seychelles,,,
153,Sierra Leone,,,
154,Singapore,,,
155,Slovakia,,,
156,Slovenia,,,
157,Solomon Islands,,,
158,Somalia,,,
159,South Africa,,,
160,Spain,,,
161,Sri Lanka,,,
162,Sudan,,,
163,Suriname,,,
164,Swaziland,,,
165,Sweden,,,
166,Switzerland,,,
167,Syria,,,
168,Tajikistan,,,
169,Thailand,,,
170,Macedonia,,,
171,Timor-Leste,,,
172,Togo,,,
173,Tonga,,,
174,Trinidad and Tobago,,,
175,Tunisia,,,
176,Turkey,,,
177,Turkmenistan,,,
178,Tuvalu,,,
179,Uganda,,,
180,Ukraine,,,
181,United Arab Emirates,,,
182,United Kingdom,,,
183,Tanzania,,,
184,United States,,,
185,Uruguay,,,
186,Uzbekistan,,,
187,Vanuatu,,,
188,Venezuela,,,
189,Vietnam,,,
190,Yemen,,,
191,Zambia,,,
192,Zimbabwe,,,
193,Puerto Rico,,,